D1,D2,rep,taxon
-0.0279234138636353,0.502371926859035,15,Typhlocybinae
-0.311772475154891,0.467398448133722,15,Psychodidae
-0.940161774180202,-0.538187954856941,15,Culicidae
0.636709036872318,0.0169601242094105,15,Calyptratae
0.457725060676074,0.190100940145989,15,Sciaridae
0.328675147074092,-0.47490094956698,15,Syrphidae
0.516101585753607,-0.208998647869515,15,L. laevissimum
-0.659353167177363,0.0452561129452804,15,Lepidoptera
0.127087027892896,0.399465356517099,16,Typhlocybinae
-0.301224694753588,0.423299198892387,16,Psychodidae
-0.866574553169789,-0.551824321437939,16,Culicidae
0.66229622744238,-0.0753649376836134,16,Calyptratae
0.567092237014523,0.15283117909714,16,Sciaridae
0.182467242270749,-0.479490265390844,16,Syrphidae
0.464368082434048,0.107596957220651,16,L. laevissimum
